,Geographic name,Geographic area type abbreviation,"Population, 2021","Population, 2016","Land area in square kilometres, 2021"
430,Sainte-Anne-de-Beaupré,V,"2,888","2,880",62.38
431,Saint-Joachim,PE,"1,427","1,441",42.33
432,Saint-Louis-de-Gonzague-du-Cap-Tourmente,PE,0,5,0.42
433,Lac-Jacques-Cartier,NO,0,0,"4,131.62"
434,Sault-au-Cochon,NO,0,0,70.18
435,Boischatel,MÉ,"8,231","7,587",20.36
436,L'Ange-Gardien,MÉ,"3,842","3,695",53.61
437,Saint-Ferréol-les-Neiges,MÉ,"3,806","3,240",83.18
438,Saint-Tite-des-Caps,MÉ,"1,504","1,473",129.30
439,La Côte-de-Gaspé,MRC,"17,547","17,117","4,088.39"
440,Gaspé,V,"15,063","14,568","1,118.77"
441,Murdochville,V,643,651,60.84
442,Collines-du-Basque,NO,0,0,817.84
443,Rivière-Saint-Jean,NO,0,0,"1,748.14"
444,Grande-Vallée,MÉ,"1,077","1,057",144.16
445,Petite-Vallée,MÉ,157,170,39.90
446,Cloridorme,CT,607,671,158.74
447,La Haute-Côte-Nord,MRC,"10,278","10,846","11,295.82"
448,Tadoussac,VL,814,799,52.73
449,Forestville,V,"2,892","3,081",192.61
450,Lac-au-Brochet,NO,0,5,"9,360.33"
451,Colombier,MÉ,635,685,361.23
452,Les Bergeronnes,MÉ,619,661,268.77
453,Les Escoumins,MÉ,"1,794","1,891",265.89
454,Longue-Rive,MÉ,918,"1,026",308.06
455,Portneuf-sur-Mer 3,MÉ,612,641r,181.90
456,Sacré-Coeur,MÉ,"1,684","1,803",303.15
457,Essipit,IRI,310,297,1.13
458,La Haute-Gaspésie,MRC,"10,950","11,316","5,053.88"
459,Marsoui,VL,289,275,181.40
460,Mont-Saint-Pierre,VL,186,155,52.07
461,Cap-Chat,V,"2,516","2,476",181.31
462,Sainte-Anne-des-Monts,V,"6,121","6,437",263.51
463,Coulée-des-Adolphe,NO,0,0,86.20
464,Mont-Albert,NO,167,179,"3,463.19"
465,La Martre,MÉ,194,243,175.23
466,Rivière-à-Claude,MÉ,141,128,155.95
467,Saint-Maxime-du-Mont-Louis,MÉ,"1,047","1,134",232.67
468,Sainte-Madeleine-de-la-Rivière-Madeleine,MÉ,289,289,262.35
469,La Haute-Yamaska,MRC,"92,796","88,306",636.00
470,Warden,VL,362,363,5.46
471,Granby,V,"69,025","66,222",152.69
472,Waterloo,V,"4,920","4,410",12.23
473,Roxton Pond,MÉ,"4,224","3,809",97.64
474,Saint-Alphonse-de-Granby,MÉ,"3,341","3,094",50.12
475,Saint-Joachim-de-Shefford,MÉ,"1,476","1,301",126.91
476,Sainte-Cécile-de-Milton,MÉ,"2,195","2,160",72.96
477,Shefford,CT,"7,253","6,947",117.99
478,La Jacques-Cartier,MRC,"47,813","43,485","3,183.75"
479,Fossambault-sur-le-Lac,V,"2,327","1,960",11.49
480,Lac-Delage,V,771,638,1.58
481,Lac-Saint-Joseph,V,304,260,33.65
482,Sainte-Brigitte-de-Laval,V,"8,468","7,348",108.42
483,Sainte-Catherine-de-la-Jacques-Cartier,V,"8,442","7,706",120.70
484,Shannon,V,"6,432","6,031",63.54
485,Lac-Croche,NO,0,0,"1,679.99"
486,Lac-Beauport,MÉ,"8,164","7,801",61.73
487,Saint-Gabriel-de-Valcartier,MÉ,"3,223","3,382",432.62
488,Stoneham-et-Tewkesbury,CU,"9,682","8,359",670.03
489,La Matanie,MRC,"20,883","21,301","3,315.74"
490,Matane,V,"13,987","14,311",195.49
491,Saint-Adelme 3,PE,484,520r,100.58
492,Saint-Jean-de-Cherbourg 3,PE,163,165r,113.96
493,Saint-Léandre,PE,375,400,104.72
494,Rivière-Bonjour 7,NO,16,"0E,r","1,682.50"
495,Baie-des-Sables,MÉ,613,628,65.07
496,Grosses-Roches 3,MÉ,375,394r,63.59
497,Les Méchins,MÉ,995,987,441.39
498,Saint-René-de-Matane 3,MÉ,961,991r,253.89
499,Saint-Ulric,MÉ,"1,567","1,585",120.45
500,Sainte-Félicité 3,MÉ,"1,100","1,087r",90.73
501,Sainte-Paule,MÉ,247,233,83.36
